date,Region,"Case per 100,000"
2020-09-11,Bangsamoro Region,28.0
2020-09-12,Bangsamoro Region,11.0
2020-09-13,Bangsamoro Region,12.0
2020-09-14,Bangsamoro Region,23.0
2020-09-15,Bangsamoro Region,23.0
2020-09-16,Bangsamoro Region,35.0
2020-08-18,Bangsamoro Region,3.0
2020-08-17,Bangsamoro Region,16.0
2020-08-16,Bangsamoro Region,7.0
2020-08-15,Bangsamoro Region,12.0
2020-07-16,Bangsamoro Region,14.0
2020-07-17,Bangsamoro Region,61.0
2020-07-18,Bangsamoro Region,6.0
2020-07-19,Bangsamoro Region,3.0
2020-07-20,Bangsamoro Region,8.0
2020-07-21,Bangsamoro Region,2.0
2020-07-22,Bangsamoro Region,8.0
2020-07-23,Bangsamoro Region,4.0
2020-07-24,Bangsamoro Region,4.0
2020-07-25,Bangsamoro Region,2.0
2020-07-26,Bangsamoro Region,16.0
2020-07-27,Bangsamoro Region,0.0
2020-07-28,Bangsamoro Region,15.0
2020-07-29,Bangsamoro Region,5.0
2020-09-17,Bangsamoro Region,43.0
2020-07-30,Bangsamoro Region,15.0
2020-08-01,Bangsamoro Region,1.0
2020-08-02,Bangsamoro Region,2.0
2020-08-03,Bangsamoro Region,3.0
2020-08-04,Bangsamoro Region,30.0
2020-08-05,Bangsamoro Region,14.0
2020-08-06,Bangsamoro Region,5.0
2020-08-07,Bangsamoro Region,10.0
2020-08-08,Bangsamoro Region,21.0
2020-08-09,Bangsamoro Region,1.0
2020-08-10,Bangsamoro Region,8.0
2020-08-11,Bangsamoro Region,6.0
2020-08-12,Bangsamoro Region,6.0
2020-08-13,Bangsamoro Region,10.0
2020-08-14,Bangsamoro Region,16.0
2020-07-31,Bangsamoro Region,10.0
2020-07-15,Bangsamoro Region,14.0
2020-09-18,Bangsamoro Region,83.0
2020-09-20,Bangsamoro Region,22.0
2020-10-25,Bangsamoro Region,34.0
2020-10-26,Bangsamoro Region,45.0
2020-10-27,Bangsamoro Region,36.0
2020-10-28,Bangsamoro Region,35.0
2020-10-29,Bangsamoro Region,37.0
2020-10-30,Bangsamoro Region,55.0
2020-10-31,Bangsamoro Region,30.0
2020-11-01,Bangsamoro Region,49.0
2020-11-02,Bangsamoro Region,29.0
2020-11-03,Bangsamoro Region,28.0
2020-11-04,Bangsamoro Region,29.0
2020-11-05,Bangsamoro Region,25.0
2020-11-06,Bangsamoro Region,30.0
2020-11-07,Bangsamoro Region,58.0
2020-11-08,Bangsamoro Region,95.0
2020-11-09,Bangsamoro Region,98.0
2020-11-10,Bangsamoro Region,22.0
2020-11-11,Bangsamoro Region,20.0
2020-11-12,Bangsamoro Region,7.0
2020-11-13,Bangsamoro Region,28.0
2020-11-14,Bangsamoro Region,16.0
2020-11-15,Bangsamoro Region,19.0
2020-11-16,Bangsamoro Region,12.0
2020-11-17,Bangsamoro Region,20.0
2020-11-18,Bangsamoro Region,23.0
2020-11-19,Bangsamoro Region,24.0
2020-11-20,Bangsamoro Region,37.0
2020-11-21,Bangsamoro Region,21.0
2020-11-22,Bangsamoro Region,11.0
2020-10-24,Bangsamoro Region,46.0
2020-10-23,Bangsamoro Region,46.0
2020-10-22,Bangsamoro Region,33.0
2020-10-21,Bangsamoro Region,25.0
2020-09-21,Bangsamoro Region,13.0
